tid,time,day,poi,type,root_type,rating,weather,label
5185,1374,Monday,Starbucks,Coffee Shop,Food,7.4,Clouds,185
5185,1397,Monday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clouds,185
5185,589,Tuesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5185,674,Tuesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5185,800,Tuesday,US Post Office,Post Office,Professional & Other Places,-1.0,Clouds,185
5185,1023,Tuesday,King Pizza,Pizza Place,Food,6.8,Clouds,185
5185,1055,Tuesday,Lashful,Building,Professional & Other Places,-1.0,Clouds,185
5185,1110,Tuesday,Eton Medical Group,Doctor's Office,Professional & Other Places,-1.0,Clouds,185
5185,1138,Tuesday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5185,1415,Tuesday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5185,9,Wednesday,Starbucks,Coffee Shop,Food,7.4,Clear,185
5185,50,Wednesday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clear,185
5185,104,Wednesday,AT&T,Office,Professional & Other Places,-1.0,Clear,185
5185,560,Wednesday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5185,735,Wednesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5185,820,Wednesday,AT&T,Office,Professional & Other Places,-1.0,Clouds,185
5185,864,Wednesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5185,895,Wednesday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5185,931,Wednesday,Bacari Grill,American Restaurant,Food,8.8,Clouds,185
5185,1132,Wednesday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5185,1215,Wednesday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clouds,185
5185,4,Thursday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clouds,185
5185,473,Thursday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5185,552,Thursday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clear,185
5185,931,Thursday,Sunoco,Gas Station,Shop & Service,6.1,Clouds,185
5185,976,Thursday,Bonefish Grill,Seafood Restaurant,Food,7.6,Clouds,185
5185,1017,Thursday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5185,1065,Thursday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5185,1201,Thursday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5185,1260,Thursday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5185,1330,Thursday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5185,1406,Thursday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clouds,185
5185,472,Friday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5185,524,Friday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5185,589,Friday,nanas :),American Restaurant,Food,-1.0,Clear,185
5185,643,Friday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5185,735,Friday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5185,920,Friday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5185,960,Friday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5185,1014,Friday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5185,1059,Friday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5185,1078,Friday,Lieto Italia Ristorante,Italian Restaurant,Food,7.4,Clear,185
5185,1118,Friday,Big Jims,Pizza Place,Food,7.9,Clear,185
5185,1152,Friday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5185,1258,Friday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clear,185
5185,1295,Friday,AT&T,Office,Professional & Other Places,-1.0,Clear,185
5185,503,Saturday,Starbucks,Coffee Shop,Food,7.4,Clear,185
5185,559,Saturday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5185,748,Saturday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5185,768,Saturday,Sunoco,Gas Station,Shop & Service,6.1,Clear,185
5185,897,Saturday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5185,930,Saturday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5185,1011,Saturday,nanas :),American Restaurant,Food,-1.0,Clear,185
5185,1045,Saturday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5185,1098,Saturday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5185,1130,Saturday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5185,1221,Saturday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5185,1336,Saturday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Clouds,185
5185,1370,Saturday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Rain,185
5185,1421,Saturday,AT&T,Office,Professional & Other Places,-1.0,Clouds,185
5185,17,Sunday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clouds,185
5185,503,Sunday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clouds,185
5185,571,Sunday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clouds,185
5185,612,Sunday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5185,649,Sunday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5185,825,Sunday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5185,858,Sunday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5185,890,Sunday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5185,971,Sunday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5185,1064,Sunday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5185,1076,Sunday,King Pizza,Pizza Place,Food,6.8,Clear,185
5186,479,Monday,nanas :),American Restaurant,Food,-1.0,Clear,185
5186,511,Monday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5186,879,Monday,UPS,Post Office,Professional & Other Places,-1.0,Clear,185
5186,448,Tuesday,nanas :),American Restaurant,Food,-1.0,Clear,185
5186,491,Tuesday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5186,539,Tuesday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5186,590,Tuesday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Clear,185
5186,1019,Tuesday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5186,1056,Tuesday,King Pizza,Pizza Place,Food,6.8,Clear,185
5186,1331,Tuesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5186,1369,Tuesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5186,548,Wednesday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5186,633,Wednesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5186,697,Wednesday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5186,723,Wednesday,Panzica,Doctor's Office,Professional & Other Places,-1.0,Clear,185
5186,757,Wednesday,Paramus Recycling Center,Government Building,Professional & Other Places,-1.0,Clear,185
5186,790,Wednesday,King Pizza,Pizza Place,Food,6.8,Clear,185
5186,847,Wednesday,Bacari Grill,American Restaurant,Food,8.8,Clouds,185
5186,880,Wednesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5186,1172,Wednesday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clouds,185
5186,1250,Wednesday,Starbucks,Coffee Shop,Food,7.4,Clouds,185
5186,1288,Wednesday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clouds,185
5186,1391,Wednesday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clouds,185
5186,1405,Wednesday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Rain,185
5186,364,Thursday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Clouds,185
5186,466,Thursday,AT&T,Office,Professional & Other Places,-1.0,Fog,185
5186,549,Thursday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5186,581,Thursday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5186,613,Thursday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5186,660,Thursday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clear,185
5186,980,Thursday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5186,1056,Thursday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5186,1132,Thursday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5186,1179,Thursday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5186,1400,Thursday,Bonefish Grill,Seafood Restaurant,Food,7.6,Clear,185
5186,66,Friday,Starbucks,Coffee Shop,Food,7.4,Clear,185
5186,101,Friday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clear,185
5186,434,Friday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5186,472,Friday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5186,549,Friday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5186,815,Friday,Dunkin Donuts,Donut Shop,Food,7.4,Clouds,185
5186,895,Friday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5186,934,Friday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5186,992,Friday,Bacari Grill,American Restaurant,Food,8.8,Clouds,185
5186,1055,Friday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5186,1062,Friday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5186,1435,Friday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5186,491,Saturday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5186,535,Saturday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5186,569,Saturday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5186,688,Saturday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clear,185
5186,738,Saturday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5186,755,Saturday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5186,885,Saturday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clouds,185
5186,918,Saturday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5186,963,Saturday,Bacari Grill,American Restaurant,Food,8.8,Clear,185
5186,1184,Saturday,Paramus Recycling Center,Government Building,Professional & Other Places,-1.0,Clear,185
5186,1223,Saturday,Starbucks,Coffee Shop,Food,7.7,Clear,185
5186,1255,Saturday,QDOBA Mexican Eats,Mexican Restaurant,Food,6.4,Clear,185
5186,1304,Saturday,Oak Ale House Restaurant,Sports Bar,Nightlife Spot,6.4,Clear,185
5186,1318,Saturday,Panzica,Doctor's Office,Professional & Other Places,-1.0,Clouds,185
5186,1390,Saturday,Four Seasons,Hotel,Travel & Transport,-1.0,Rain,185
5186,1421,Saturday,YJCC,Music Venue,Arts & Entertainment,-1.0,Rain,185
5186,1437,Saturday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Rain,185
5186,443,Sunday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5186,561,Sunday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5186,596,Sunday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5186,870,Sunday,Four Seasons,Hotel,Travel & Transport,-1.0,Rain,185
5186,1033,Sunday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Rain,185
5186,1065,Sunday,King Pizza,Pizza Place,Food,6.8,Rain,185
5186,1179,Sunday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Rain,185
5186,1244,Sunday,AT&T,Office,Professional & Other Places,-1.0,Rain,185
5186,1300,Sunday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Rain,185
5186,1334,Sunday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Rain,185
5186,1396,Sunday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Rain,185
5186,1414,Sunday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Rain,185
5187,41,Monday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Rain,185
5187,394,Monday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5187,1014,Monday,Law Offices Of Barbara DeMar,Meeting Room,Professional & Other Places,-1.0,Clouds,185
5187,1078,Monday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5187,1112,Monday,AT&T,Office,Professional & Other Places,-1.0,Clouds,185
5187,1151,Monday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Clouds,185
5187,1229,Monday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5187,1408,Monday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5187,13,Tuesday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5187,69,Tuesday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5187,128,Tuesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5187,463,Tuesday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5187,593,Tuesday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5187,637,Tuesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5187,673,Tuesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5187,707,Tuesday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5187,753,Tuesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5187,786,Tuesday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5187,876,Tuesday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Clouds,185
5187,932,Tuesday,United Water!,Building,Professional & Other Places,-1.0,Clouds,185
5187,1015,Tuesday,Big Jims,Pizza Place,Food,7.9,Clouds,185
5187,1095,Tuesday,Quick Shop,Coffee Shop,Food,-1.0,Clouds,185
5187,1127,Tuesday,US Post Office,Post Office,Professional & Other Places,-1.0,Clouds,185
5187,397,Wednesday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5187,489,Wednesday,nanas :),American Restaurant,Food,-1.0,Clear,185
5187,560,Wednesday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5187,630,Wednesday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5187,728,Wednesday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5187,759,Wednesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5187,873,Wednesday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5187,971,Wednesday,AT&T,Office,Professional & Other Places,-1.0,Clouds,185
5187,1071,Wednesday,Crowne Plaza Paramus,Hotel,Travel & Transport,-1.0,Clouds,185
5187,1331,Wednesday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clear,185
5187,1406,Wednesday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5187,1406,Wednesday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Clear,185
5187,1,Thursday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5187,18,Thursday,Starbucks,Coffee Shop,Food,7.4,Clear,185
5187,98,Thursday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clear,185
5187,391,Thursday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5187,454,Thursday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5187,572,Thursday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5187,610,Thursday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5187,391,Friday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5187,469,Friday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5187,503,Friday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5187,592,Friday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5187,677,Friday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5187,710,Friday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5187,782,Friday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5187,827,Friday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5187,980,Friday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clear,185
5187,1178,Friday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5187,1211,Friday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5187,1231,Friday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5187,1239,Friday,Capital One Bank,Bank,Shop & Service,5.9,Clear,185
5187,1396,Friday,Starbucks,Coffee Shop,Food,7.4,Clear,185
5187,453,Saturday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5187,538,Saturday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5187,627,Saturday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5187,659,Saturday,US Post Office,Post Office,Professional & Other Places,-1.0,Clear,185
5187,814,Saturday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5187,850,Saturday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Clear,185
5187,891,Saturday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clear,185
5187,943,Saturday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5187,1076,Saturday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5187,1109,Saturday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5187,1157,Saturday,nanas :),American Restaurant,Food,-1.0,Clear,185
5187,1198,Saturday,my bed,Strip Club,Nightlife Spot,-1.0,Clear,185
5187,1320,Saturday,King Pizza,Pizza Place,Food,6.8,Clear,185
5187,1405,Saturday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clear,185
5187,450,Sunday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clear,185
5187,543,Sunday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5187,640,Sunday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5187,694,Sunday,Four Seasons,Hotel,Travel & Transport,-1.0,Clear,185
5187,873,Sunday,Chase Bank,Bank,Shop & Service,7.1,Clear,185
5187,894,Sunday,King Pizza,Pizza Place,Food,6.8,Clear,185
5187,928,Sunday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clear,185
5188,978,Tuesday,St. Bonaventure Church,Church,Professional & Other Places,-1.0,Clouds,185
5188,1037,Tuesday,US Post Office,Post Office,Professional & Other Places,-1.0,Clouds,185
5188,1096,Tuesday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5188,1135,Tuesday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clear,185
5188,1204,Tuesday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clear,185
5188,1237,Tuesday,nanas :),American Restaurant,Food,-1.0,Clear,185
5188,1271,Tuesday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5188,1397,Tuesday,Isabel's AMAZING Kitchen,Cuban Restaurant,Food,-1.0,Clouds,185
5188,35,Wednesday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clouds,185
5188,361,Thursday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5188,492,Thursday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5188,523,Thursday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5188,722,Thursday,Four Seasons,Hotel,Travel & Transport,-1.0,Clouds,185
5188,836,Thursday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clouds,185
5188,868,Thursday,Chase Bank,Bank,Shop & Service,7.1,Clouds,185
5188,1067,Thursday,Sunoco,Gas Station,Shop & Service,6.1,Fog,185
5188,1079,Thursday,Capital One Bank,Bank,Shop & Service,5.9,Fog,185
5188,1091,Thursday,King Pizza,Pizza Place,Food,6.8,Fog,185
5188,1200,Thursday,my bed,Strip Club,Nightlife Spot,-1.0,Clouds,185
5188,6,Friday,Bergen County Vocational High School,High School,Professional & Other Places,-1.0,Clouds,185
5188,84,Friday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clouds,185
5188,111,Friday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clouds,185
5188,276,Friday,BPIT Softball BBQ,Restaurant,Food,-1.0,Clouds,185
5188,550,Friday,nanas :),American Restaurant,Food,-1.0,Clouds,185
5188,600,Friday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5188,729,Friday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Clouds,185
5188,773,Friday,Gardner Field,Park,Outdoors & Recreation,-1.0,Clouds,185
5188,890,Friday,YJCC,Music Venue,Arts & Entertainment,-1.0,Clear,185
5188,971,Friday,Garden State Parkway Park & Ride,Bus Line,Travel & Transport,-1.0,Clear,185
5188,1155,Friday,Holiday Inn Hasbrouck Heights-Meadowlands,Hotel,Travel & Transport,5.7,Clear,185
5188,1193,Friday,Gabriel's Bar and Grille,American Restaurant,Food,5.9,Fog,185
5188,1223,Friday,Dunkin' Donuts,Donut Shop,Food,6.2,Clear,185
5188,12,Saturday,My uncomfortable shitty bed :(,Home (private),Residence,-1.0,Clear,185
5188,365,Saturday,The Bush Hideout,Speakeasy,Nightlife Spot,-1.0,Clouds,185
5188,451,Saturday,The Bush Hot Tub :),Pool,Outdoors & Recreation,-1.0,Clouds,185
5188,469,Saturday,Starbucks,Coffee Shop,Food,7.7,Clouds,185
5188,596,Saturday,Wells Fargo,Bank,Shop & Service,6.4,Clouds,185
5188,616,Saturday,Aviation Hall Of Fame & Museum Of New Jersey,Museum,Arts & Entertainment,-1.0,Clouds,185
5188,690,Saturday,Signature Flight Support East,Airport Terminal,Travel & Transport,-1.0,Clouds,185
5188,790,Saturday,Teterboro Chrysler Plymouth Jeep Eagle,Automotive Shop,Shop & Service,7.7,Clouds,185
5188,863,Saturday,Beirut Duty Free,Gift Shop,Shop & Service,-1.0,Clouds,185
5188,926,Saturday,Dunkin' Donuts,Donut Shop,Food,7.3,Fog,185
5188,972,Saturday,Law Offices Of Barbara DeMar,Meeting Room,Professional & Other Places,-1.0,Fog,185
5188,1024,Saturday,The Hang Out,Other Nightlife,Nightlife Spot,-1.0,Fog,185
5188,789,Sunday,Parkway Elementary School,Elementary School,Professional & Other Places,-1.0,Clouds,185
